Country or Area,Year,Area,Sex,City,City type,Record Type,Reliability,Source Year,Population,Value Footnotes
Australia,2010,Total,Male,Darwin,City proper,Estimate - de jure,Provisional figure,2012,67095,9
Australia,2010,Total,Male,Geelong,City proper,Estimate - de jure,Provisional figure,2012,87782,9
Australia,2010,Total,Male,Gold Coast-Tweed Heads,City proper,Estimate - de jure,Provisional figure,2012,292960,9
Australia,2010,Total,Male,Greater Wollongong,City proper,Estimate - de jure,Provisional figure,2012,145757,9
Australia,2010,Total,Male,Hobart,City proper,Estimate - de jure,Provisional figure,2012,104549,9
Australia,2010,Total,Male,Launceston,City proper,Estimate - de jure,Provisional figure,2012,51966,9
Australia,2010,Total,Male,Melbourne,City proper,Estimate - de jure,Provisional figure,2012,2021534,9
Australia,2010,Total,Male,Newcastle,City proper,Estimate - de jure,Provisional figure,2012,270978,9
Australia,2010,Total,Male,Perth,City proper,Estimate - de jure,Provisional figure,2012,852066,9
Australia,2010,Total,Male,Sunshine Coast,City proper,Estimate - de jure,Provisional figure,2012,122372,9
Australia,2010,Total,Male,Sydney,City proper,Estimate - de jure,Provisional figure,2012,2261612,9
Australia,2010,Total,Male,Toowoomba,City proper,Estimate - de jure,Provisional figure,2012,64285,9
Australia,2010,Total,Male,Townsville,City proper,Estimate - de jure,Provisional figure,2012,87045,9
Australia,2010,Total,Female,Adelaide,City proper,Estimate - de jure,Provisional figure,2012,614927,9
Australia,2010,Total,Female,Albury-Wodonga,City proper,Estimate - de jure,Provisional figure,2012,53511,9
Australia,2010,Total,Female,Brisbane,City proper,Estimate - de jure,Provisional figure,2012,1029732,9
Australia,2010,Total,Female,Cairns,City proper,Estimate - de jure,Provisional figure,2012,75170,9
Australia,2010,Total,Female,CANBERRA,City proper,Estimate - de jure,Provisional figure,2012,179980,9
Australia,2010,Total,Female,Canberra-Queanbeyan,City proper,Estimate - de jure,Provisional figure,2012,205788,9
Australia,2010,Total,Female,Darwin,City proper,Estimate - de jure,Provisional figure,2012,60437,9
Australia,2010,Total,Female,Geelong,City proper,Estimate - de jure,Provisional figure,2012,90868,9
Australia,2010,Total,Female,Gold Coast-Tweed Heads,City proper,Estimate - de jure,Provisional figure,2012,298513,9
Australia,2010,Total,Female,Greater Wollongong,City proper,Estimate - de jure,Provisional figure,2012,146433,9
Australia,2010,Total,Female,Hobart,City proper,Estimate - de jure,Provisional figure,2012,110156,9
Australia,2010,Total,Female,Launceston,City proper,Estimate - de jure,Provisional figure,2012,54187,9
Australia,2010,Total,Female,Melbourne,City proper,Estimate - de jure,Provisional figure,2012,2055502,9
Australia,2010,Total,Female,Newcastle,City proper,Estimate - de jure,Provisional figure,2012,275810,9
Australia,2010,Total,Female,Perth,City proper,Estimate - de jure,Provisional figure,2012,843999,9
Australia,2010,Total,Female,Sunshine Coast,City proper,Estimate - de jure,Provisional figure,2012,128709,9
Australia,2010,Total,Female,Sydney,City proper,Estimate - de jure,Provisional figure,2012,2313920,9
Australia,2010,Total,Female,Toowoomba,City proper,Estimate - de jure,Provisional figure,2012,66973,9
Australia,2010,Total,Female,Townsville,City proper,Estimate - de jure,Provisional figure,2012,85271,9
Australia,2009,Total,Male,Adelaide,City proper,Estimate - de jure,Provisional figure,2011,580355,9
Australia,2009,Total,Male,Albury-Wodonga,City proper,Estimate - de jure,Provisional figure,2011,51784,9
